"Subnational gas consumption, Great Britain, 2019",,,,,,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic
","Median consumption
(kWh per meter):
Non-Domestic","Median consumption
(kWh per meter):
All meters","Number of 
non-consuming meters 
(thousands)"
E07000037,East Midlands,High Peak,,38.9,0.5,39.4,582.9,656.6,"1,239.4","14,994.3","1,359,360.4","31,493.5","13,240.5","141,374.5","13,363.4",0.4
E07000038,East Midlands,North East Derbyshire,,44.1,0.3,44.5,637.4,158.2,795.6,"14,443.2","470,797.4","17,891.7","13,159.8","145,815.0","13,221.6",0.3
E07000039,East Midlands,South Derbyshire,,41.4,0.3,41.7,545.6,369.6,915.2,"13,193.8","1,188,372.3","21,965.4","11,995.1","122,781.5","12,054.9",0.3
E07000129,East Midlands,Blaby,,41.5,0.4,41.9,584.4,144.4,728.8,"14,090.8","365,646.4","17,407.4","12,953.9","149,559.1","13,028.5",0.2
E07000130,East Midlands,Charnwood,,72.5,0.8,73.3,994.9,574.4,"1,569.3","13,727.6","718,006.6","21,417.0","12,280.4","147,919.8","12,367.6",0.7
E07000131,East Midlands,Harborough,,34.6,0.3,34.9,521.9,165.7,687.7,"15,093.7","476,234.5","19,688.2","13,460.8","135,258.4","13,549.5",0.6
E07000132,East Midlands,Hinckley and Bosworth,,45.9,0.4,46.3,626.9,206.5,833.4,"13,651.6","524,162.9","17,994.7","12,408.1","137,882.2","12,472.3",0.3
E07000133,East Midlands,Melton,,18.7,0.2,18.9,260.8,175.2,436.0,"13,939.8","917,397.4","23,070.5","12,446.6","126,366.1","12,521.6",0.2
E07000134,East Midlands,North West Leicestershire,,39.9,0.4,40.3,565.7,686.9,"1,252.6","14,175.1","1,631,508.3","31,057.4","12,944.1","164,727.4","13,022.5",0.4
E07000135,East Midlands,Oadby and Wigston,,22.8,0.3,23.1,343.1,93.9,437.0,"15,029.2","308,808.9","18,889.4","13,589.7","136,860.2","13,722.1",0.2
E07000136,East Midlands,Boston,,23.1,0.2,23.3,293.4,65.9,359.4,"12,691.6","346,999.3","15,416.4","11,421.6","153,287.4","11,487.3",0.2
E07000137,East Midlands,East Lindsey,,41.0,0.4,41.5,528.9,199.4,728.3,"12,887.6","465,842.5","17,562.5","11,308.8","145,598.9","11,402.0",0.5
E07000138,East Midlands,Lincoln,,41.3,0.5,41.8,497.6,339.8,837.5,"12,044.2","682,417.1","20,028.5","10,723.5","161,302.7","10,820.6",0.5
E07000139,East Midlands,North Kesteven,,39.5,0.3,39.8,513.8,176.7,690.5,"13,004.8","644,775.0","17,355.7","11,908.8","151,864.7","11,955.9",0.3
E07000140,East Midlands,South Holland,,30.0,0.2,30.2,391.1,208.0,599.1,"13,059.0","936,913.7","19,856.3","11,809.8","135,211.6","11,867.6",0.3
E07000141,East Midlands,South Kesteven,,50.0,0.5,50.5,649.9,306.2,956.1,"12,998.4","675,920.3","18,950.3","11,719.6","150,443.9","11,790.2",0.4
